95,Stephanie,Smith,Testing,14143.16,58.05846847844346
96,Steven,Hill,Testing,44596.03,34.68526828370728
97,Aaron,Knapp,IT,7173.91,42.56960245972408
98,Sean,Brown,Testing,63227.56,42.297898445473386
99,Patricia,Andrade,Research,56325.19,53.392001856436565
100,Keith,Douglas,Research,91043.08,56.06516736823332
101,Eric,Morris,HR,92032.14,57.38835515427023
102,Derek,Wilson,Sales,891.88,47.04203447835993
103,Connie,Yang,Sales,76690.3,35.965577702394086
104,Leah,Reed,Testing,27471.47,52.534878609071285
105,Sean,Vargas,IT,45820.53,53.35641531825037
106,Tyler,Jacobson,HR,40238.5,52.37422206058373
107,Andrew,Mcclain,Research,25797.12,41.67229627816585
108,Matthew,Allen,Research,58480.28,40.36209033095007
109,Jasmine,West,Sales,25193.23,56.815960866052464
110,Richard,Morrison,Sales,92979.61,50.89069329624456
111,Michelle,Williams,Sales,28446.83,38.584919326025414
112,Steven,Hensley,Testing,67864.96,59.20713713667767
113,Courtney,Daniels,IT,2433.03,54.28299106062217
114,Jeremy,Johnson,HR,37363.98,52.07483650583389
115,Carmen,Ortiz,HR,75368.03,63.18398845196526
116,Karen,Turner,IT,39425.41,77.46182451174907
117,Joshua,Smith,Research,95857.99,66.18164334054762
118,Jessica,Kelly,Research,55413.47,40.95520155335735
119,Kimberly,Martin,Research,48929.66,67.72312438288665
120,Debra,Reynolds,Research,3408.72,21.565277748027782
121,Jaime,Murray,HR,85455.04,53.77331357101431
122,Philip,Duffy,Sales,78968.03,42.563550787957546
123,Dawn,Flynn,HR,57637.67,39.12498217773594
124,Evan,Scott,HR,44526.26,45.972095770294175
125,Madison,Sullivan,Research,95383.74,66.00716047017701
126,Melissa,Rodriguez,HR,19239.26,50.59402000801947
